Sample,ML 24 S-01,ML 24 S-03,WT 24 S-04,WT 24 S-05,LL 24 S-06,LL 24 S-07,HL 24 S-08,HL 24 S-09,RS 24 S-12,RS 24 S-13,DS 24 S-14,DS 24 S-15
ppb Pb,2982.5,8854.9,11411.3,9459.0,4130.6,11249.5,3240.2,7807.2,2756.7,132054.9,2426.6,8174.3
206Pb/204Pb,18.76,19.13,19.22,19.18,19.10,18.93,20.51,19.30,19.45,19.00,19.65,19.12
± (2s),0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.03
206Pb/207Pb,1.200,1.220,1.224,1.223,1.220,1.210,1.303,1.230,1.237,1.214,1.244,1.218
± (2s),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
206Pb/208Pb,0.4893,0.4915,0.4933,0.4943,0.4911,0.4894,0.5120,0.4955,0.4858,0.4931,0.5087,0.4914
± (2s),0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
87Sr/86Sr,0.708884,0.708664,0.706718,0.708017,0.706146,0.707840,0.708175,0.707507,0.748933,0.724938,0.709314,0.710024
± (2s),0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020
ppm Sr,768.0,434.0,55.5,157.7,620.6,154.2,351.3,239.9,90.6,146.4,581.9,420.9