Sample,ML-24-01,ML-24-02,WT-24-03,LL-24-04,HL-24-05,RS-24-06
ppb Pb,6.47,3.166,0.242,0.348,0.107,0.122
206Pb/204Pb,18.76,18.82,18.57,18.80,18.80,18.77
± (2s),0.03,0.03,0.03,0.04,0.04,0.04
206Pb/207Pb,1.200,1.201,1.185,1.200,1.198,1.194
± (2s),0.001,0.001,0.001,0.001,0.001,0.001
206Pb/208Pb,0.4893,0.4905,0.4855,0.4907,0.4892,0.4880
± (2s),0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
87Sr/86Sr,0.709014,0.708688,0.708199,0.708255,0.708230,0.718906
± (2s),0.000020,0.000020,0.000020,0.000020,0.000020,0.000020
ppb Sr,65.6,1340.7,143.3,5.0,6.1,895.7